Name,Price,Size
คอนโดΤhePolitanAquaเดอะโพลิแทนอควา​สนามบินน้ำนนทบุรี,15000,30 
คอนโดมิเนียมกรู๊ฟรัชดา-พระราม,15000,24 
คอนโดมิเนียมแอสปายสุขุมวิท,18000,38.5 
คอนโดAspireSukhumvit,18000,38.5 
คอนโดAspireสาทรราชพฤกษ์,15000,48 
คอนโดBrownCondoรัชดา,10000,
คอนโดCEkkamai,17000,
คอนโดChambersOnnutStation,16000,26 
คอนโดElioDelNestUdomsuk,19000,39 
คอนโดIDEOMOBISukhumvitEastpoint,15000,
คอนโดIdeoMobiSukhumvitEastpointคอนโดไอดีโอโมบิสุขุมวิทอีสพอยต์ใกล้BTSบางนา,13500,25 
คอนโดIDEOO2,15000,33 
คอนโดKnightsbridgeสุขุมวิท-เทพารักษ์KnightsbridgeSukhumvit-Thepharak,9500,23.88 
คอนโดLifeAsoke,16000,28 
คอนโดMaestro,23000,34 
คอนโดNicheMonoSukhumvit,13500,33 
คอนโดNobleRevolveRatchada,14000,26 
คอนโดNueNobleSrinakarin,11000,27 
คอนโดPrivateLuxuryHighriseพร้อม,15000,33.5 
คอนโดRegentBangna,11000,
คอนโดTheBaseParkEast,13000,26 
คอนโดTheBaseสะพานใหม่ติด,12500,28 
คอนโดTheBaseสะพานใหม่ติดBTS,12500,28 
คอนโดTheCubeLoftSrinakarin,9500,28.6 
คอนโดThecubeloftลาดพร้าว,15000,35.5 
คอนโดTheLineSukhumvit101,16500,
คอนโดTheLineSukhumvit101,16500,27.5 
คอนโดTheMetropolisSamrongInterchange,13000,
คอนโดTheOriginSukhumvit105,13000,29 
คอนโดThePrivacyS101,14000,
คอนโดTheTreeลาดพร้าว,15000,30.51 
คอนโดUKaset-Nawaminยูเกษตร-นวมินทร์,9000,26.39 
คอนโดโคลเวอร์ลาดพร้าวBTSMRTลาดพร้าว,10000,29 
คอนโดชีวาทัยเกษตร-นวมินทร์,11500,25 
คอนโดเซ็นทริคติวานนท์สเตชั่นห่างจากรถไฟฟ้าMRTติวานนท์,8500,32 
คอนโดเดอะไลน์พหลโยธินพาร์คBTSห้าแยกลาดพร้าว,18000,32.5
คอนโดเดอะทรีอินเตอร์เชนจ์THETREE,20000,58 
คอนโดเดอะทรีอินเตอร์เชนจ์THETREEINTERCHANGE,20000,58 
คอนโดเดอะแบงค็อกนราธิวาสTheBangkokNarathiwasซอยนราธิวาสราชนครินทร์,6500000,75.56 
คอนโดไนท์บริดไพร์มสาทรknightsbridgeprimesathorn,27000,37 
คอนโดบางใหญ่สเตชั่นเฟส1,7500,26
คอนโดโมนีคสุขุมวิท,20000,51.07 
คอนโดลุมพินีวิลล์จรัญ,9000,26 
UNKNOWN NAME,7500,
คอนโดเอสเปซไอดีอโศก-รัชดาใกล้MRTพระราม,14000,1634.16 
คอนโดเอลลิโอเดลมอสพหลโยธิน34,9500,26 
คอนโดแอสปายรัชโยธินใกล้รถไฟฟ้าBTSรัชโยธิน,15000,29 
คอนโดใกล้บีทีเอสสายสีเขียวสะพานใหม่N20,15000,27 
คอนโดใกล้บีทีเอสสายสีเขียวสะพานใหม่N20ถึง,15000,27 
คอนโดชาโตว์อินทาวน์พหลโยธิน32เสนานิคมจตุจักร,10000,
คอนโดแชปเตอร์วันออลรามอินทราMRTลาดปลาเค้า,10500,
คอนโดแชปเตอร์วันออลรามอินทราMRTลาดปลาเค้า,10500,24.25 
UNKNOWN NAME,11000,25
UNKNOWN NAME,11000,
UNKNOWN NAME,19000,35 
UNKNOWN NAME,33000,52 
UNKNOWN NAME,31000,36 
UNKNOWN NAME,10000,24.2 
UNKNOWN NAME,27000,
คอนโดมิเนียมโคลเวอร์ลาดพร้าวCloverLadpraoCondominium,10000,
คอนโดมิเนียมโคลเวอร์ลาดพร้าวCloverLadpraoCondominium,10000,29 
คอนโดมิเนียมชาโตว์อินทาวน์พหลโยธิน,10000,
คอนโดมิเนียมชาโตว์อินทาวน์พหลโยธิน,10000,30 
คอนโดมิเนียมแชปเตอร์ทองหล่อ,22000,
คอนโดมิเนียมเดอะออริจิ้นราม,9000,
คอนโดมิเนียมเดอะออริจิ้นราม209,9000,22.68 
คอนโดมิเนียมเดอะออริจิ้นราม209,9000,
คอนโดมิเนียมไนท์บริดจ์สเปซรัชโยธินKnightsbridgeSpaceRatchayothinใกล้BTSพหลโยธิน,26000,37.5 
คอนโดมิเนียมบราวน์คอนโดรัชดา,11000,
คอนโดมิเนียมบราวน์คอนโดรัชดา32,10000,
คอนโดมิเนียมบลอคส์,18000,40 
คอนโดมิเนียมบลอคส์,18000,
คอนโดมิเนียมฟินน์อารีย์FynnAreeBTSอารีย์,35000,47 
คอนโดมิเนียมมาเอสโตร,23000,34 
คอนโดมิเนียมรีเกิลอ่อนนุช-ศรีนครินทร์,13000,
คอนโดมิเนียมลุมพินีเพลสพระราม,12000,
คอนโดมิเนียมลุมพินีเพลสพระราม,12000,37 
คอนโดมิเนียมไลฟ์ลาดพร้าวLifeLadpraoCondominiumForrentค่า,23000,36 
คอนโดมิเนียมไลฟ์สุขุมวิท,16000,
คอนโดมิเนียมไลฟ์สุขุมวิท,30000,50 
คอนโดมิเนียมเอลลิโอสุขุมวิท,10000,31 
คอนโดมิเนียมไอวี่ทองหล่อIvyThonglorCondoForrentพร้อมเข้าอยู่,42000,43 
คอนโดมือ1ไม่แพงมีเงินเหลือ,6000,26 
คอนโดมือ1ไม่แพงมีเงินเหลือรวมหนี้ผ่อนทางเดียว,6000,26 
คอนโดเมโทรสกายวุฒากาศใกล้ตลาดพลู,11000,
คอนโดเมโทรสกายวุฒากาศใกล้ตลาดพลู,11000,30 
คอนโดเมโทรลักซ์,13000,35 
คอนโดดี,32000,41 
คอนโดดี,40000,41 
คอนโดดี,2290000,29 
คอนโดดี,33000,44 
คอนโดรีชพหลโยธิน,10000,
คอนโดลาดพร้าว,25000,35 
คอนโดลุมพินีมิกซ์เทพารักษ์ตึกB,5000,
คอนโดลุมพินีเพลสพหล-สะพานควายใกล้BTSสะพานควาย,20000,65 
คอนโดลุมพินีวิลล์สุขุมวิท,9500,
คอนโดศุภาลัยลอฟท์สถานีตลาดพลูพร้อมเข้าอยู่studioขนาด,13000,32 
UNKNOWN NAME,22000,49 
TheMonumentThongLo,150000,
UNKNOWN NAME,19000,30 
UNKNOWN NAME,42000,55 
UNKNOWN NAME,30000,40 
คอนโดLumpiniParkเพชรเกษม,6500,26 
คอนโดSYMVibha-Ladpraoซิมวิภา-ลาดพร้าว,25000,
คอนโดSYMVibha-Ladpraoซิมวิภา-ลาดพร้าว,25000,78 
คอนโดArtisanRatchada,17000,33
UNKNOWN NAME,34000,35 
คอนโดAtmozLadprao,16000,36 
คอนโดLifeLadpraoValleyไลฟ์ลาดพร้าวแวลลีย์,50000,58 
คอนโดใหม่ใกล้BTSบางนา,11000,
คอนโดใหม่โครงการSkyriseAvenueSukhumvit,28000,46.46 
คอนโดใหม่เดอะไลน์ไวบ์BTSห้าแยกลาดพร้าว,22000,37 
คอนโดใหม่ไลฟ์พหลลาดพร้าว,25000,35 
UNKNOWN NAME,9000,23 
UNKNOWN NAME,9000,
โครงการTheMetropolisSamrongInterchange,11000,
UNKNOWN NAME,12000,28 
UNKNOWN NAME,12000,28 
คอนโดเดอะมูฟบางแคเจ้าของเองติดโลตัสบางแคใกล้MRTบางแค,8500,25 
Maestro,23000,
คอนโดBelleGrandพระราม,40000,96 
GrandCondominiumWutthakatแกรนด์คอนโดมิเนียมวุฒากาศอาคารB,8000,27.4
คอนโดใกล้btsกรุงธนบุรี,12000,
คอนโดใกล้btsกรุงธนบุรี,12000,30 
คอนโดใกล้btsแบริ่ง,8000,30 
NottingHillTheExclusiveเจริญกรุง,13000,
UDelightResidenceRiverfrontพระราม,25000,56.27 
คอนโดElioSukhumvit,10000,31 
คอนโดIdeoMobiSukhumvitEastpointไอดีโอโมบิอีสพ้อยใกล้BTSบางนา,13500,
คอนโดIdeoO,15000,34 
คอนโดIdeoO,15000,
คอนโดPlumSukhumvit,14000,
คอนโดSupalaiParkEkkamaiThonglorศุภาลัยปาร์คเอกมัย-ทองหล่อใหญ่,17000,55 
ไนท์บริด์พหลโยธินอินเตอร์เชนจ์ใกล้btsวัดพระศรีbtsพหลโยธิน,14000,30 
แชปเตอร์วันอีโครัชดา-ห้วยขวางสวยMRTห้วยขวาง,15000,
แชปเตอร์วันอีโครัชดา-ห้วยขวางสวยMRTห้วยขวาง,15000,29 
ซันซิตี้MRTแยกไฟฉายSuncityมีเครื่องซักผ้าค่า,9000,26.75 
ด่วนMRTบางกระสอคอนโดแอสปายรัตนาธิเบศร์,7000,
คอนโดเดอะพาร์คแลนด์จรัญปิ่นเกล้าอาคารCชั้น,12000,
คอนโดเดอะพาร์คแลนด์จรัญปิ่นเกล้าอาคารCชั้น,12000,35 
HSukhumvit,45000,
CentricRatchadaSuthisanคอนโดเซ็นทริครัชดา-สุทธิสาร,14500,36 
TheOriginลาดพร้าว,12000,25 
เดอะกรีน,7500,
เดอะเคลฟริเวอร์ไลน์เจ้าพระยา-วงศ์สว่างTheClevRiverlineChaophraya-WongSawang,9500,25 
เดอะมิดคอนโดมิเนียมค่า,6500,
เดอะมิดคอนโดมิเนียมค่า,6500,29.24 
เดอะไลน์พหลโยธินพาร์คDuplexBTSห้าแยกลาดพร้าว,55000,82 
UNKNOWN NAME,26000,37.5 
ติดBTSรัชโยธินแมสซารีนรัชโยธินMazarineRatchayothinมุมไม่ติดใครใหญ่เฟอร์ครบ,20000,32 
ติดMrtบางพลัดแต่งครบคอนโดเดอลาพีสจรัญ,12000,27 
ติดMrtบางพลัดใหญ่คอนโดเดอลาพีสจรัญ,13000,
UNKNOWN NAME,19000,
ติดMRTรัชดาภิเษกคอนโดริทึ่มรัชดาRHYTHMRATCHADA,20000,47.7 
ติดBTSพหลโยธิน,11000,
UNKNOWN NAME,25000,35 
โนเบิลอราวน์อารีย์NobleAroundAriB,33000,
ไนท์บริดจ์ไพร์มรัชโยธินBTSพหลโยธิน,20000,35 
ชีวาทัยลาดพร้าว-โชคชัย,20000,45 
AshtonChula-Silomแอชตันจุฬา-สีลมMRTสามย่าน,525000,26.5 
ThePolitanRiveเดอะโพลิแทนรีฟ,14000,31.12 
ThePolitanRiveเดอะโพลิแทนรีฟ,14000,
ThePolitanRiveเดอะโพลิแทนรีฟ,14000,31.12 
Thepresidentsathon-ratchaphruek,10000,30 
คอนโดAspireวุฒากาศstudio,9000,22 
คอนโดBrownratchada,10000,24 
คอนโดCentricratchayothinBTSMRTรัชโยธิน,18000,35 
คอนโดCentricห้วยขวางBTSMRTห้วยขวาง,17000,31 
คอนโดratchayothinstationBTSMRTรัชโยธิน,12000,28 
คอนโดIdeo,15000,34 
คอนโดIdeoratchada-SuthisanBTSMRTสุทธิสาร,18000,35 
คอนโดIdeowutthakatBTSMRTวุฒากาศ,17000,45.59 
คอนโดLifeSukhumvit,23000,35 
คอนโดLyssratchayothinBTSMRTพหลโยธิน,16000,35 
คอนโดModizstationBTSMRTพหลโยธิน,13000,26 
คอนโดNichepridethonglorpetchburiBTSMRTเพชรบุรีทองหล่อ,15000,32 
คอนโดNobleReformBTSMRTอารีย์,33000,54 
คอนโดTheCubeloftLadprao,13000,28 
คอนโดTheOriginRam,9000,22.68 
คอนโดTheOriginRam,8500,22.68 
คอนโดTheRemarkAblesoonvijai,25000,55.64 
คอนโดโคลเวอร์ลาดพร้าวBTSMRTลาดพร้าว,10000,29 
คอนโดLife@Ratchada-HuaikhwangติดMRTห้วยขวาง,15000,
คอนโดหรูวิวสุดจึ้งTheLineSukhumvit,25000,
แชมเบอร์สอ่อนนุชสเตชั่นChambersOnnutStation,16000,26 
แชมเบอร์สอ่อนนุชสเตชั่นChambersOnnutStation,20000,26 
เดอะไลน์อโศกรัชดาTheLineAsokeRatchada,23000,35 
คอนโดเดอะไลน์ไวบ์,20000,32 
ออริจิ้นปลั๊กแอนด์เพลย์รามคำแหงทริปเปิ้ลสเตชั่น,25000,
CondoWish@siamใกล้BTSราชเทวี,12000,30 
VillaAsokeใกล้MRTเพชรบุรี,22000,52 
คอนโดArtisanMRTห้วยขวาง,13000,33.37 
คอนโดBLOCS,18000,40 
คอนโดLecosiEakkamai,13000,
คอนโดLifeAsokeวิวสูงโปร่งชั้น,35000,
คอนโดRhythmSathorn,35000,66.7 
คอนโดTheOriginRam,9000,
คอนโดคอนโดเสนาคิทท์mrtบางแคเฟส,7500,26
คอนโดโครงการลุมพินีวิลล์แจ้งวัฒนะ,7500,27 
คอนโดย่านจรัญ-สิรินธรคอนโดลุมพินีซีเล็คเต็ด-สเตชั่นจรัญ,9000,
คอนโดลุมพินีวิลล์รามอินทรา-หลักสี่,9900,34 
คอนโดTHERemarkAbleซอยศูนย์วิจัย,25000,55.64 
คอนโดแม็กซี่ไพร์มใกล้MRTสุทธิสาร,13000,30 
คอนโดติดMRTเตาปูนNicheprideTaopoonติดรถไฟฟ้าสถานีเตาปูนNichePrideTaopoon,18000,35 
คอนโดย่านบางนาTheMuveBangnaเดอะมูฟบางนาใกล้รถไฟฟ้าสถานีศรีเอี่ยม,9000,25 
คอนโดย่านบางนาTheMuveBangnaเดอะมูฟบางนาใกล้รถไฟฟ้าศรีเอี่ยม,9000,25 
คอนโดใหม่LIFEพหลโยธิน-ลาดพร้าว,27000,35 
ชีวาทัยเพชรเกษม,8000,
ชีวาทัยเพชรเกษม,8000,23.5 
UNKNOWN NAME,14000,25 
AspireRatchayothin,16000,
ideomobirama,13000,
คอนโดIdeomobiasokeใกล้MRTเพชรบุรีและมศว,17000,
RhythmAsoke-ขนาด,28000,45
UNKNOWN NAME,21000,
UNKNOWN NAME,21000,24.56 
TheOriginRatchada–Ladpraoดิออริจิ้นรัชดา–ลาดพร้าว,15000,28 
Mycondo,8800,27 
พลัมคอนโดบางใหญ่สเตชั่นสถานีคลองบางไผ่,5500,23 
ฟินน์อารีย์FYNNAree,35000,47 
เมธาเพลสรัชดาคอนโดว่าง,9500,32 
UNKNOWN NAME,13000,
UNKNOWN NAME,16500,
UNKNOWN NAME,16500,27.5 
UNKNOWN NAME,11000,
UNKNOWN NAME,11000,27 
ลิสส์รัชโยธินLyssRatchayothin,17000,
ลุมพินีวิลล์อ่อนนุชลาดกระบัง,7500,
IdeoCharan,20000,33 
IdeoQSukhumvit,33000,38.5 
ใกล้mrtบางพลัดIDEOCharan,16000,33 
แอทโมซแจ้งวัฒนะใกล้รถไฟฟ้า,8500,23 
สุทธิสาร,7500,24 
CondoTHELINEPhahonyothinParkคอนโดเดอะไลน์พหลโยธินพาร์ค,18000,32.5 
UNKNOWN NAME,18000,35 
UNKNOWN NAME,18000,
"คอนโด""TheCubeLoftSrinakarin-Theparakใกล้MRTศรีแบริ่ง",11000,
คอนโดBrownCondoรัชดา,11000,24 
UNKNOWN NAME,18000,
UNKNOWN NAME,18000,32 
TheTreeRioBangaorStationตอบแชทไวรหัสT,12000,32 
คอนโดไลฟ์พหลฯ-ลาดพร้าว,27000,35 
MYCONDOSukhumvit,15000,35 
ใกล้BTSห้าแยกลาดพร้าวคอนโดไลฟ์พหลฯ-ลาดพร้าวLifePhahon-Ladprao,27000,35 
ใกล้MRTพหลโยธินBTSห้าแยกลาดพร้าวคอนโดเดอะไพรเวซี่จตุจักรThePrivacyJatujak,16000,27 
Lifeonewireless,18000,28 
UNKNOWN NAME,12000,28 
ไอดีโอคิวสุขุมวิท,40000,44.79 
Elioสุขุมวิท,10000,31 
เดอะคิวเว่ติวานนท์,20000,32 
18,18000,
19,19000,
19,19000,36.75 
8,8500,28
9,9500,
9,9500,28.6 
ASHTONASOKEแอชตันอโศก,40000,35 
ASHTONASOKEคอนโดหรูใจกลางอโศกพร้อมเข้าอยู่แอชตันอโศกชั้น,35000,38 
AspireRatchayothin,16000,29 
AspireSathon-TaksinCopperZoneใกล้BTSสถานีวุฒากาศแค่,10500,
AspireSukhumvit,18000,
BelleGrandRama,40000,96 
BelleGrandพระราม,40000,96 
ChapterOneAllRamintra,10000,25 
Chapteroneflowbangpo,19500,
ChewathaiPinklao,14000,
ChewathaiPinklao,14000,30 
CocoParcRama,70000,65 
Eliodelrayสุขุมวิท,9000,24 
GrandCondominiumWutthakatแกรนด์คอนโดมิเนียมวุฒากาศอาคารB,8000,27.4 
IdeoMobiBangsueGrandInterchangeไอดีโอโมบิบางซื่อ-แกรนด์อินเตอร์เชนจ์โครงการอยู่บนถประชาชื่นMRTเตาปูนBL,25000,48 
IdeoMobiSukhumvitEastpointคอนโดไอดิโอโมบิสุขุมวิทอีสพ้อยท์ทำเลดีใกล้BTSบางนา,13500,25 
IdeoMobi,20000,
IdeoNewRama,25000,
IdeoNewRama,25000,52 
IdeoQSukhumvit,38000,45 
KnightsbridgeSukhumvit-Thepharakไนท์บริดจ์สุขุมวิท-เทพารักษ์l,10000,23 
LifeOneWirelessBTS,28000,
ModernCondo,8500,24.74 
OnederKasetวันเดอร์เกษตร,11000,25 
SupalaiParkTalatPhluStationศุภาลัยปาร์คสถานีตลาดพลูlชั้นสูงใหญ่ใกล้TheMallท่าพระ&BTSตลาดพลู,14000,36 
TheBaseSaphanmaiเดอะเบสสะพานใหม่ติดBTSสายหยุด,12000,28.5
TheBelgraviaรัชดา-ลาดพร้าว,11000,25 
TheCubeLoftศรีนครินทร์ใกล้MRTสายสีเหลือง,9500,28.6 
TheLIVINPhetkasemใหม่ตกแต่งพร้อมเข้าอยู่ได้เลยMRTสถานีภาษีเจริญ,15000,33 
TheMetropolisSamrongInterchange,11000,
TheOriginRam,9000,
TheoriginRamintra83,9000,
ThePresidentSathorn-Ratchapruek,9500,
ThePrivacyJatujakเดอะไพรเวซี่จตุจักร,16000,27 
ThePrivacyJatujakเดอะไพรเวซี่จตุจักรใกล้MRTพหลโยธิน,16000,27 
TheReservePhahol-Pradipatทำเลดีใกล้BTSสะพานควาย,27000,40 
TheRoomสุขุมวิท69,25000,35 
TheTreePattanakarn,13000,27 
WishSignatureMidtownSiamใกล้BTSสถานีราชเทวี,25000,34.5 
WishSignatureMidtownSiamใกล้BTSสถานีราชเทวี,25000,34.5 
UNKNOWN NAME,15000,
คอนโดAspireSukhumvit,18000,
คอนโดCityHomeRattanathibetรัตนาธิเบศร์,5000,32 
คอนโดElioDelNest,11000,26.82 
คอนโดEliodelnest,19000,39 
คอนโดEliodelnest,19000,
คอนโดIdeoMobiSukhumvitไอดิโอโมบิสุขุมวิท,16000,31 
คอนโดIdeoNewRama,25000,
คอนโดIdeoO,15000,34 
คอนโดIdeoO,15000,
คอนโดLifeAsokeHypeไลฟ์อโศกไฮป์ค่า,24000,
คอนโดLifePhahon-Ladpraoไลฟ์พหลฯ-ลาดพร้าว,27000,35 
คอนโดMaestro,23000,34 
คอนโดNobleBe,80000,79 
คอนโดPlumSukhumvit,14000,
คอนโดRegalSathon-Naradhiwasใกล้BTSช่องนนทรี,18000,33 
คอนโดRhythmsathornสาทรใกล้BTSสถานีสะพานตากสิน,20000,35 
คอนโดRhythmsathornสาทรใกล้BTSสถานีสะพานตากสิน,20000,35 
คอนโดTheOriginSukhumvit,13000,
คอนโดTheOriginSukhumvit,13000,28 
คอนโดWhizdomTheForestiasวิสซ์ดอมเดอะฟอเรสเทียส์,31000,35 
คอนโดซีเอกมัยCondoCEkkamaiBTSเอกมัย,17000,30.45
คอนโดซีเอกมัยCondoCEkkamaiใกล้BTSเอกมัย,19000,30 
คอนโดซีเอกมัยCondoCEkkamai,16000,35 
คอนโดเดอะไพรเวซี่ประชาอุทิศ-สุขสวัสดิ์THEPRIVACYPRACHAUTHIT-SUKSAWAT,6500,
คอนโดเดอะไพรเวซี่ประชาอุทิศ-สุขสวัสดิ์THEPRIVACYPRACHAUTHIT-SUKSAWAT,6500,24 
คอนโดเดอะมูฟราม,9000,
คอนโดเดอะไลน์วงศ์สว่างรถไฟฟ้าMRTวงสว่าง,25000,55.6 
คอนโดนิวครอสคูคตสเตชันNueCrossKhuKhotStationติดBTSคูคตBTS,9500,27 
คอนโดนิวคอร์คูคตสเตชันใหม่NueCoreKhuKhotStationใกล้สายสีเขียวสถานีคูคต,11000,27 
คอนโดเมโทรสกายวุฒากาศbtsวุฒากาศ,16000,
คอนโดเมโทรสกายวุฒากาศbtsวุฒากาศ,16000,35 
คอนโดรีเกิลอ่อนนุช,18000,38.2 
คอนโดไลฟ์อโศกไฮป์,24000,33 
คอนโดวิชซิกเนเจอร์แอทมิดทาวน์สยาม,22000,
คอนโดวิชซิกเนเจอร์แอทมิดทาวน์สยาม,22000,26.65 
คอนโดศุภาลัยคิวท์รัชโยธิน-พหลโยธิน,12000,
คอนโดศุภาลัยคิวท์รัชโยธิน-พหลโยธิน,12000,45.5 
คอนโดศุภาลัยวิสต้าห้าแยกปากเกร็ดใหญ่ดีค่า,8500,47 
คอนโดแอชตันจุฬาสีลมAshtonChulaSilomคอนโดใกล้มอจุฬาคอนโดสามย่าน,25000,25 
คอนโดแอสปายสุขุมวิท,17000,
คอนโดTheEditorSaphanKhwaiดิเอดิเตอร์สะพานควายติดBTSสะพานควาย,15000,29 
คอนโดลุมพินีสวีทเพชรบุรี-มักกะสัน,19500,
คอนโดวิสซ์ดอมอเวนิวรัชดา-ลาดพร้าวWhizdomAvenueRatchada-Ladpraoติดรถไฟฟ้าใต้ดินMRTลาดพร้าว,19000,
คอนโดวิสซ์ดอมอเวนิวรัชดา-ลาดพร้าวWhizdomAvenueRatchada-Ladpraoติดรถไฟฟ้าใต้ดินMRTลาดพร้าว,19000,31 
โครงการAshtonchula-silom,35000,
แชปเตอร์เจริญนครริเวอร์ไซด์Studio,17000,25.7
เซ็นทริครัชโยธินForCentricRatchayothin,22000,
เดอะเคลฟริเวอร์ไลน์เจ้าพระยา-วงศ์สว่างTheClevRiverlineChaophraya-WongSawang,9500,25 
เดอะมูฟบางแค,8500,25 
เดอะไลน์พหลโยธินพาร์คTHELINEPhahonyothinParkใกล้BTSห้าแยกลาดพร้าว,18000,32.5 
เดอะทรีหัวหมากอินเตอร์เชนจ์TheTreeHuamakInterchangel,1000,41.38 
บ้านสวยใกล้BTSอารีย์ซสายลม,45000,374 
CondoRegentHomeSukhumvit,9500,
เมโทรสกายวุฒากาศใกล้BTSวุฒากาศและMRTInterchangeบางหว้า,15000,35 
ลุมพินีวิลล์อ่อนนุช46,7500,
UNKNOWN NAME,13000,26 
อาคารพาณิชย์3ชั้น1,120000,
อาคารสำนักงานขนาด3ชั้น,110000,728 
เอสเพนคอนโดลาซาลตรงข้ามรพศิครินทร์ใกล้MrtศรีลาซาลตึกBชั้น,9000,27 
ไอดีโอนิวพระราม,25000,52 
ไอดีโอสุขุมวิท,17000,
ไอดีโอสุขุมวิท,17000,31.76 
𝐀𝐥𝐭𝐢𝐭𝐮𝐝𝐞𝐔𝐧𝐢𝐜𝐨𝐫𝐧สาทร-ท่าพระใกล้𝐁𝐓𝐒ตลาดพลู,13000,
𝐀𝐬𝐩𝐢𝐫𝐞สุขุมวิท𝟒𝟖ใกล้𝐁𝐓𝐒พระโขนง,16000,
𝐂𝐨𝐧𝐝𝐨𝐥𝐞𝐭𝐭𝐞𝐃𝐰𝐞𝐥𝐥𝐒𝐮𝐤𝐡𝐮𝐦𝐯𝐢𝐭𝟐𝟔ใกล้BTSพร้อมพงษ์,20000,
𝐍𝐔𝐄𝐂𝐑𝐎𝐒𝐒𝐊𝐇𝐔𝐊𝐇𝐎𝐓𝐒𝐓𝐀𝐓𝐈𝐎𝐍คอนโดใหม่ติดBTSคูคต,17000,
𝐔𝐃𝐞𝐥𝐢𝐠𝐡𝐭@𝐇𝐮𝐚𝐢𝐤𝐡𝐰𝐚𝐧𝐠𝐒𝐭𝐚𝐭𝐢𝐨𝐧มุม𝟒𝟐ตรมใกล้𝐌𝐑𝐓ห้วยขวาง,18000,
OnederKasetวันเดอร์เกษตร,11000,25 
หมู่บ้านเคซีครัสเตอร์วิล,12000,
TheRoomSukkumvit,35000,55 
𝐑𝐡𝐲𝐭𝐡𝐦𝐒𝐮𝐤𝐡𝐮𝐦𝐯𝐢𝐭𝟓𝟎ใกล้𝐁𝐓𝐒อ่อนนุชOnnutขนาด,19000,35 
MsocietyCondo,8000,
คอนโดLifeสุขุมวิท,15000,32 
UNKNOWN NAME,30000,40 
UNKNOWN NAME,14000,31 
คอนโดAspireRama,14000,28 
คอนโดAtmozแจ้งวัฒนะ,7300,
คอนโดBrightonPlaceพระราม,20000,62 
คอนโดChapterOneFlowบางโพ,15000,32.16 
คอนโดIdeoMobiSukhumvitEastpointใกล้BTSบางนา,13500,25 
คอนโดIdeomobiซอยรางน้ำ,18000,28 
คอนโดIdeomobiซอยรางน้ำ,18000,28 
คอนโดIdeoMobiสุขุมวิท,33000,61 
คอนโดKaveseedkasetเคฟซี้ดเกษตรใกล้มเกษตร,12000,
คอนโดKaveseedkasetเคฟซี้ดเกษตรใกล้มเกษตร,12000,26 
คอนโดKaveseedkasetเคฟซี้ดเกษตรใกล้มเกษตร,12000,
คอนโดLifeAsokeHype,24000,33
คอนโดLifeAsokeใกล้,35000,
คอนโดLifephahon-ladpraoคอนโดใหม่ไม่เคยเข้าอยู่ใกล้รถไฟฟ้า,27000,35 
คอนโดLifePhahon-Ladpraoตรงข้ามเซ็นทรัลลาดพร้าวคอนโดใหม่พร้อมเข้าอยู่ใกล้รถไฟฟ้า,25000,35 
คอนโดLumpiniPlaceพระราม,12000,
คอนโดLumpiniPlaceพระราม,12000,37 
คอนโดOkaHausbySansiri,24000,
คอนโดQuintaraPhumeSukhumvit39,20000,31
คอนโดQuintaraPhumeSukhumvit39,20000,31
คอนโดRhythmAsoke,28000,45
คอนโดRhythmSathornริทึ่มสาทร,23000,35 
คอนโดSiameseGioiaSukhumvit,25000,
คอนโดSUNCITY,8500,26 
คอนโดTheBaseSukhumvit,17000,34.75 
คอนโดTheColoryVivid,12000,
คอนโดTheColoryVivid,12000,33.84 
คอนโดTheCrystalBlissถเรวดีรัตนาธิเบศร์,7000,30 
คอนโดTheLineSukhumvit,16500,27.5 
คอนโดTheNextGardensuite,18000,52 
คอนโดTheOriginPlug&PlayRamintra,16000,27
คอนโดTheOriginRam,9000,22.68 
คอนโดThePolitanRive,11000,30 
คอนโดTheprivacyประชาอุทิศ,7000,
คอนโดTHERemarkAbleซอยศูนย์วิจัย,25000,55.64 
คอนโดUKaset-Nawaminยูเกษตร-นวมินทร์,9000,
คอนโดUKaset-Nawaminยูเกษตร-นวมินทร์,9000,26.39 
คอนโดWishSignature,22000,26.65 
คอนโดแกรนด์พาร์ควิวอโศกGrandParkViewAsok,17500,
คอนโดเคนซิงตันสุขุมวิท,10000,30 
คอนโดเคนซิงตันสุขุมวิท,10000,
คอนโดดิออริจิ้นลาดพร้าว,18000,
คอนโดดิออริจิ้นลาดพร้าว,18000,32 
คอนโดเดอะโพลิแทนอควาThePolitanAqua,15000,
คอนโดเดอะโพลิแทนอควาThePolitanAqua,11500,
คอนโดเดอะมาร์ครัชดา-แอร์พอร์ตลิงค์TheMarkRatchadaAirportlink,13000,35 
คอนโดเดอะเครสท์พหลโยธิน11BTSอารีย์,18000,45
คอนโดยูเกษตร-นวมินทร์UKaset-NawaminStudio,10000,26.39 
คอนโดลุมพินีเพลสพระราม,12000,
คอนโดศุภาลัยซิตี้รีสอร์ท,8000,
คอนโดไอดีโอสุขุมวิท,11000,
คอนโดลุมพินีวิลล์รามอินทราหลักสี่ข้างเซ็นทรัลรามอินทรา,9500,34 
คอนโดหรูCelesAsoke,230000,134 
คอนโดTheMonumentThonglor,450000,
คอนโดTheMonumentThonglor,450000,252 
คอนโดใหม่โครงการAspireเอราวัณไพร์ม,10000,
คอนโดแอชตันอโศก,40000,35 
